ciudad,country,name,lat,lon,weather_main,temp,feels_like,humidity,wind_speed
Guanajuato,MX,Guanajuato City,21.0186,-101.2591,Clouds,291.59,291.37,72,10.74
Jalisco,CO,Jalisco,3.2541,-76.5435,Rain,295.91,296.41,83,1.34
Ciudad de Mexico,MX,Mexico City,19.4285,-99.1277,Clouds,288.12,287,51,4.47
Monterrey,MX,Monterrey,25.6667,-100.3167,Clouds,302.35,303.07,50,1.22
Monte Caseros,AR,Monte Caseros,-30.2536,-57.6363,Clear,286.98,286.06,63,3.62
Monthey,CH,Monthey,46.2555,6.9607,Clouds,284.97,284.3,80,1.47
